Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
bb7doiChallengeGTSonPainkillersShort,Challenges,Challenge,,,"Stand still on a bed or bedroll, take painkillers, and try to sleep.",,"Bleib still in einem Bett oder Schlafsack, nimm Schmerzmittel und versuche zu schlafen.","Quédate quieto en una cama o saco de dormir, toma analgésicos e intenta dormir.","Reste immobile dans un lit ou un sac de couchage, prends des analgésiques et essaie de dormir.","Rimani fermo su un letto o sacco a pelo, prendi analgesici e prova a dormire.",ベッドまたは寝袋に静かに座り、鎮痛剤を摂取して眠ろうとします。,침대나 침낭에 가만히 앉아 진통제를 섭취하고 잠들기를 시도하세요.,"Pozostań w bezruchu na łóżku lub w śpiworze, weź środki przeciwbólowe i spróbuj zasnąć.  ","Fique deitado em uma cama ou saco de dormir, tome analgésicos e tente dormir.","Сиди неподвижно на кровати или спальном мешке, принимай обезболивающие и пытайся уснуть.  ","Bir yatakta veya uyku tulumunda hareketsiz kal, ağrı kesici al ve uyumayı dene.  ",躺在床上或睡袋里，服用止痛药并尝试入睡。,躺在床或睡袋上，服用止痛藥並嘗試入睡。
bb7doiChallengeTreatInsomnia1,Challenges,Challenge,,,Treat Insomnia #1,,Insomnie behandeln #1,Tratar Insomnio #1,Traitement de l'Insomnie #1,Trattare l'Insonnia #1,不眠症を治療する #1,불면증 치료 #1,Leczenie bezsenności #1  ,Tratar Insônia #1,Лечение Бессонницы #1  ,Uykusuzlukla Mücadele #1  ,治疗失眠#1,處理失眠 #1
bb7doiChallengeTreatInsomnia1Desc,Challenges,Challenge,,,"A good night of sleep can be more of a luxury than electricity under this government, I get that.\n\nIf your neighbours refuse to let you sleep, you need to be ready, because a shotgun may be able to solve that problem (your neighbours), but it won’t fix your sleep schedule.\n\nFor that, what you need is [99DDFF]Sedatives(TM).[-]",,"Eine gute Nacht Schlaf kann mehr ein Luxus sein als Elektrizität unter dieser Regierung, das verstehe ich.\n\nWenn deine Nachbarn sich weigern, dich schlafen zu lassen, musst du vorbereitet sein, denn eine Schrotflinte kann dieses Problem (deine Nachbarn) lösen, aber nicht deinen Schlafplan.\n\nDafür brauchst du [99DDFF]Sedativa(TM).[-]","Una buena noche de sueño puede ser más un lujo que la electricidad bajo este gobierno, lo entiendo.\n\nSi tus vecinos se niegan a dejarte dormir, necesitas estar preparado, porque una escopeta puede resolver ese problema (tus vecinos), pero no arreglará tu horario de sueño.\n\nPara eso, lo que necesitas son [99DDFF]Sedantes(TM).[-]","Une bonne nuit de sommeil peut être plus un luxe que l'électricité sous ce gouvernement, je comprends.\n\nSi tes voisins refusent de te laisser dormir, tu dois être prêt, car un fusil à pompe peut résoudre ce problème (tes voisins), mais ne réglera pas ton horaire de sommeil.\n\nPour cela, tu as besoin de [99DDFF]Sédatifs(TM).[-]","Una buona notte di sonno può essere più un lusso che l'elettricità sotto questo governo, lo capisco.\n\nSe i tuoi vicini si rifiutano di lasciarti dormire, devi essere preparato, perché un fucile può risolvere quel problema (i tuoi vicini), ma non risolverà il tuo orario di sonno.\n\nPer questo, ciò che ti serve sono i [99DDFF]Sedativi(TM).[-]",この政府下では、良い夜の睡眠は電気よりも贅沢かもしれません、理解しています。\n\nもし隣人があなたを眠らせてくれないなら、準備が必要です。ショットガンでその問題（隣人）を解決できますが、睡眠スケジュールは直りません。\n\nそのために必要なのは[99DDFF]鎮静剤(TM)です。[-],"이 정부 하에서 전기보다 좋은 밤의 잠이 더 사치일 수 있다는 것을 이해합니다.\n\n이웃들이 당신을 잠들지 못하게 한다면, 준비가 필요합니다. 왜냐하면 산탄총은 그 문제(이웃들)를 해결할 수 있지만, 당신의 수면 시간을 고치지는 않을 것입니다.\n\n그것을 위해 필요한 것은 [99DDFF]진정제(TM)입니다.[-]","Dobra noc snu może być bardziej luksusem niż elektryczność pod tym rządem, rozumiem.\n\nJeśli twoi sąsiedzi odmawiają pozwolenia na sen, musisz być przygotowany, bo strzelba może rozwiązać ten problem (twoi sąsiedzi), ale nie naprawi twojego harmonogramu snu.\n\nDo tego potrzebujesz [99DDFF]Środków uspokajających(TM).[-]  ","Uma boa noite de sono pode ser mais um luxo do que eletricidade sob este governo, eu entendo.\n\nSe seus vizinhos se recusam a deixar você dormir, você precisa estar preparado, porque uma espingarda pode resolver esse problema (seus vizinhos), mas não vai consertar seu horário de sono.\n\nPara isso, o que você precisa são [99DDFF]Sedativos(TM).[-]","Хорошая ночь сна может быть более роскошью, чем электричество при этом правительстве, я понимаю.\n\nЕсли твои соседи отказываются дать тебе спать, тебе нужно быть готовым, потому что дробовик может решить эту проблему (твоих соседей), но не исправит твой график сна.\n\nДля этого тебе нужны [99DDFF]Седативные средства(TM).[-]  ","İyi bir gece uykusu, bu hükümet altında elektrikten daha fazla bir lüks olabilir, bunu anlıyorum.\n\nEğer komşuların seni uyumaya bırakmıyorsa, hazırlıklı olmalısın, çünkü bir pompalı tüfek bu sorunu (komşularını) çözebilir ama uyku düzenini düzeltemez.\n\nBunun için ihtiyacın olan şey [99DDFF]Sakinleştiriciler(TM).[-]  ",一个良好的夜间睡眠可能在这个政府下比电力更奢侈，我明白。\n\n如果你的邻居拒绝让你入睡，你需要做好准备，因为一把霰弹枪可以解决这个问题（你的邻居），但无法解决你的作息问题。\n\n为此，你需要的是[99DDFF]镇静剂(TM)。[-],在這個政府下，一晚好眠可能比電力還要奢侈，我理解。\n\n如果你的鄰居不讓你睡覺，你需要做好準備，因為一把霰彈槍可以解決那個問題（你的鄰居），但不能修正你的作息時間。\n\n為此，你需要的是 [99DDFF]鎮靜劑(TM)。[-]
bb7doiChallengeTreatInsomnia1Short,Challenges,Challenge,,,Treat Insomnia with Sedatives,,Behandle Insomnie mit Sedativa,Trata el Insomnio con Sedantes,Traite l'Insomnie avec des Sédatifs,Tratta l'Insonnia con Sedativi,鎮静剤で不眠症を治療する,진정제로 불면증을 치료하세요,Leczenie bezsenności za pomocą środków uspokajających  ,Trate a Insônia com Sedativos,Лечи Бессонницу с Седативными средствами  ,Uykusuzlukla Sakinleştiricilerle Mücadele Et  ,用镇静剂治疗失眠,用鎮靜劑處理失眠
bb7doiChallengeTreatInsomnia2,Challenges,Challenge,,,Treat Insomnia #2,,Insomnie behandeln #2,Tratar Insomnio #2,Traitement de l'Insomnie #2,Trattare l'Insonnia #2,不眠症を治療する #2,불면증 치료 #2,Leczenie bezsenności #2  ,Tratar Insônia #2,Лечение Бессонницы #2  ,Uykusuzlukla Mücadele #2  ,治疗失眠#2,處理失眠 #2
bb7doiChallengeTreatInsomnia2Desc,Challenges,Challenge,,,"A good night of sleep can be more of a luxury than electricity under this government, I get that.\n\nIf your neighbours refuse to let you sleep, you need to be ready, because a shotgun may be able to solve that problem (your neighbours), but it won’t fix your sleep schedule.\n\nFor that, what you need is [99DDFF]Sedatives(TM).[-]",,"Eine gute Nacht Schlaf kann mehr ein Luxus sein als Elektrizität unter dieser Regierung, das verstehe ich.\n\nWenn deine Nachbarn sich weigern, dich schlafen zu lassen, musst du vorbereitet sein, denn eine Schrotflinte kann dieses Problem (deine Nachbarn) lösen, aber nicht deinen Schlafplan.\n\nDafür brauchst du [99DDFF]Sedativa(TM).[-]","Una buena noche de sueño puede ser más un lujo que la electricidad bajo este gobierno, lo entiendo.\n\nSi tus vecinos se niegan a dejarte dormir, necesitas estar preparado, porque una escopeta puede resolver ese problema (tus vecinos), pero no arreglará tu horario de sueño.\n\nPara eso, lo que necesitas son [99DDFF]Sedantes(TM).[-]","Une bonne nuit de sommeil peut être plus un luxe que l'électricité sous ce gouvernement, je comprends.\n\nSi tes voisins refusent de te laisser dormir, tu dois être prêt, car un fusil à pompe peut résoudre ce problème (tes voisins), mais ne réglera pas ton horaire de sommeil.\n\nPour cela, tu as besoin de [99DDFF]Sédatifs(TM).[-]","Una buona notte di sonno può essere più un lusso che l'elettricità sotto questo governo, lo capisco.\n\nSe i tuoi vicini si rifiutano di lasciarti dormire, devi essere preparato, perché un fucile può risolvere quel problema (i tuoi vicini), ma non risolverà il tuo orario di sonno.\n\nPer questo, ciò che ti serve sono i [99DDFF]Sedativi(TM).[-]",この政府下では、良い夜の睡眠は電気よりも贅沢かもしれません、理解しています。\n\nもし隣人があなたを眠らせてくれないなら、準備が必要です。ショットガンでその問題（隣人）を解決できますが、睡眠スケジュールは直りません。\n\nそのために必要なのは[99DDFF]鎮静剤(TM)です。[-],"이 정부 하에서 전기보다 좋은 밤의 잠이 더 사치일 수 있다는 것을 이해합니다.\n\n이웃들이 당신을 잠들지 못하게 한다면, 준비가 필요합니다. 왜냐하면 산탄총은 그 문제(이웃들)를 해결할 수 있지만, 당신의 수면 시간을 고치지는 않을 것입니다.\n\n그것을 위해 필요한 것은 [99DDFF]진정제(TM)입니다.[-]","Dobra noc snu może być bardziej luksusem niż elektryczność pod tym rządem, rozumiem.\n\nJeśli twoi sąsiedzi odmawiają pozwolenia na sen, musisz być przygotowany, bo strzelba może rozwiązać ten problem (twoi sąsiedzi), ale nie naprawi twojego harmonogramu snu.\n\nDo tego potrzebujesz [99DDFF]Środków uspokajających(TM).[-]  ","Uma boa noite de sono pode ser mais um luxo do que eletricidade sob este governo, eu entendo.\n\nSe seus vizinhos se recusam a deixar você dormir, você precisa estar preparado, porque uma espingarda pode resolver esse problema (seus vizinhos), mas não vai consertar seu horário de sono.\n\nPara isso, o que você precisa são [99DDFF]Sedativos(TM).[-]","Хорошая ночь сна может быть более роскошью, чем электричество при этом правительстве, я понимаю.\n\nЕсли твои соседи отказываются дать тебе спать, тебе нужно быть готовым, потому что дробовик может решить эту проблему (твоих соседей), но не исправит твой график сна.\n\nДля этого тебе нужны [99DDFF]Седативные средства(TM).[-]  ","İyi bir gece uykusu, bu hükümet altında elektrikten daha fazla bir lüks olabilir, bunu anlıyorum.\n\nEğer komşuların seni uyumaya bırakmıyorsa, hazırlıklı olmalısın, çünkü bir pompalı tüfek bu sorunu (komşularını) çözebilir ama uyku düzenini düzeltemez.\n\nBunun için ihtiyacın olan şey [99DDFF]Sakinleştiriciler(TM).[-]  ",一个良好的夜间睡眠可能在这个政府下比电力更奢侈，我明白。\n\n如果你的邻居拒绝让你入睡，你需要做好准备，因为一把霰弹枪可以解决这个问题（你的邻居），但无法解决你的作息问题。\n\n为此，你需要的是[99DDFF]镇静剂(TM)。[-],在這個政府下，一晚好眠可能比電力還要奢侈，我理解。\n\n如果你的鄰居不讓你睡覺，你需要做好準備，因為一把霰彈槍可以解決那個問題（你的鄰居），但不能修正你的作息時間。\n\n為此，你需要的是 [99DDFF]鎮靜劑(TM)。[-]
bb7doiChallengeTreatInsomnia2Short,Challenges,Challenge,,,Treat Insomnia with Sedatives,,Behandle Insomnie mit Sedativa,Trata el Insomnio con Sedantes,Traite l'Insomnie avec des Sédatifs,Tratta l'Insonnia con Sedativi,鎮静剤で不眠症を治療する,진정제로 불면증을 치료하세요,Leczenie bezsenności za pomocą środków uspokajających  ,Trate a Insônia com Sedativos,Лечи Бессонницу с Седативными средствами  ,Uykusuzlukla Sakinleştiricilerle Mücadele Et  ,用镇静剂治疗失眠,用鎮靜劑處理失眠
bb7doiChallengeTreatInsomnia3,Challenges,Challenge,,,Treat Insomnia #3,,Insomnie behandeln #3,Tratar Insomnio #3,Traitement de l'Insomnie #3,Trattare l'Insonnia #3,不眠症を治療する #3,불면증 치료 #3,Leczenie bezsenności #3  ,Tratar Insônia #3,Лечение Бессонницы #3  ,Uykusuzlukla Mücadele #3  ,治疗失眠#3,處理失眠 #3
bb7doiChallengeTreatInsomnia3Desc,Challenges,Challenge,,,"A good night of sleep can be more of a luxury than electricity under this government, I get that.\n\nIf your neighbours refuse to let you sleep, you need to be ready, because a shotgun may be able to solve that problem (your neighbours), but it won’t fix your sleep schedule.\n\nFor that, what you need is [99DDFF]Sedatives(TM).[-]",,"Eine gute Nacht Schlaf kann mehr ein Luxus sein als Elektrizität unter dieser Regierung, das verstehe ich.\n\nWenn deine Nachbarn sich weigern, dich schlafen zu lassen, musst du vorbereitet sein, denn eine Schrotflinte kann dieses Problem (deine Nachbarn) lösen, aber nicht deinen Schlafplan.\n\nDafür brauchst du [99DDFF]Sedativa(TM).[-]","Una buena noche de sueño puede ser más un lujo que la electricidad bajo este gobierno, lo entiendo.\n\nSi tus vecinos se niegan a dejarte dormir, necesitas estar preparado, porque una escopeta puede resolver ese problema (tus vecinos), pero no arreglará tu horario de sueño.\n\nPara eso, lo que necesitas son [99DDFF]Sedantes(TM).[-]","Une bonne nuit de sommeil peut être plus un luxe que l'électricité sous ce gouvernement, je comprends.\n\nSi tes voisins refusent de te laisser dormir, tu dois être prêt, car un fusil à pompe peut résoudre ce problème (tes voisins), mais ne réglera pas ton horaire de sommeil.\n\nPour cela, tu as besoin de [99DDFF]Sédatifs(TM).[-]","Una buona notte di sonno può essere più un lusso che l'elettricità sotto questo governo, lo capisco.\n\nSe i tuoi vicini si rifiutano di lasciarti dormire, devi essere preparato, perché un fucile può risolvere quel problema (i tuoi vicini), ma non risolverà il tuo orario di sonno.\n\nPer questo, ciò che ti serve sono i [99DDFF]Sedativi(TM).[-]",この政府下では、良い夜の睡眠は電気よりも贅沢かもしれません、理解しています。\n\nもし隣人があなたを眠らせてくれないなら、準備が必要です。ショットガンでその問題（隣人）を解決できますが、睡眠スケジュールは直りません。\n\nそのために必要なのは[99DDFF]鎮静剤(TM)です。[-],"이 정부 하에서 전기보다 좋은 밤의 잠이 더 사치일 수 있다는 것을 이해합니다.\n\n이웃들이 당신을 잠들지 못하게 한다면, 준비가 필요합니다. 왜냐하면 산탄총은 그 문제(이웃들)를 해결할 수 있지만, 당신의 수면 시간을 고치지는 않을 것입니다.\n\n그것을 위해 필요한 것은 [99DDFF]진정제(TM)입니다.[-]","Dobra noc snu może być bardziej luksusem niż elektryczność pod tym rządem, rozumiem.\n\nJeśli twoi sąsiedzi odmawiają pozwolenia na sen, musisz być przygotowany, bo strzelba może rozwiązać ten problem (twoi sąsiedzi), ale nie naprawi twojego harmonogramu snu.\n\nDo tego potrzebujesz [99DDFF]Środków uspokajających(TM).[-]  ","Uma boa noite de sono pode ser mais um luxo do que eletricidade sob este governo, eu entendo.\n\nSe seus vizinhos se recusam a deixar você dormir, você precisa estar preparado, porque uma espingarda pode resolver esse problema (seus vizinhos), mas não vai consertar seu horário de sono.\n\nPara isso, o que você precisa são [99DDFF]Sedativos(TM).[-]","Хорошая ночь сна может быть более роскошью, чем электричество при этом правительстве, я понимаю.\n\nЕсли твои соседи отказываются дать тебе спать, тебе нужно быть готовым, потому что дробовик может решить эту проблему (твоих соседей), но не исправит твой график сна.\n\nДля этого тебе нужны [99DDFF]Седативные средства(TM).[-]  ","İyi bir gece uykusu, bu hükümet altında elektrikten daha fazla bir lüks olabilir, bunu anlıyorum.\n\nEğer komşuların seni uyumaya bırakmıyorsa, hazırlıklı olmalısın, çünkü bir pompalı tüfek bu sorunu (komşularını) çözebilir ama uyku düzenini düzeltemez.\n\nBunun için ihtiyacın olan şey [99DDFF]Sakinleştiriciler(TM).[-]  ",一个良好的夜间睡眠可能在这个政府下比电力更奢侈，我明白。\n\n如果你的邻居拒绝让你入睡，你需要做好准备，因为一把霰弹枪可以解决这个问题（你的邻居），但无法解决你的作息问题。\n\n为此，你需要的是[99DDFF]镇静剂(TM)。[-],在這個政府下，一晚好眠可能比電力還要奢侈，我理解。\n\n如果你的鄰居不讓你睡覺，你需要做好準備，因為一把霰彈槍可以解決那個問題（你的鄰居），但不能修正你的作息時間。\n\n為此，你需要的是 [99DDFF]鎮靜劑(TM)。[-]
bb7doiChallengeTreatInsomnia3Short,Challenges,Challenge,,,Treat Insomnia with Sedatives,,Behandle Insomnie mit Sedativa,Trata el Insomnio con Sedantes,Traite l'Insomnie avec des Sédatifs,Tratta l'Insonnia con Sedativi,鎮静剤で不眠症を治療する,진정제로 불면증을 치료하세요,Leczenie bezsenności za pomocą środków uspokajających  ,Trate a Insônia com Sedativos,Лечи Бессонницу с Седативными средствами  ,Uykusuzlukla Sakinleştiricilerle Mücadele Et  ,用镇静剂治疗失眠,用鎮靜劑處理失眠
bb7doiChallengeTreatSleepDeprivation1,Challenges,Challenge,,,Treat Sleep Deprivation #1,,Schlafentzug behandeln #1,Tratar Privación del Sueño #1,Traitement de la Privation de Sommeil #1,Trattare la Privazione del Sonno #1,睡眠不足を治療する #1,수면 박탈 치료 #1,Leczenie deprywacji snu #1  ,Tratar Privação do Sono #1,Лечение Привлечения Сна #1  ,Uyku Giderimi ile Mücadele #1  ,治疗睡眠剥夺#1,處理失眠 #1
bb7doiChallengeTreatSleepDeprivation1Desc,Challenges,Challenge,,,"Getting some well-deserved shut-eye is mandatory preparation for the day-to-day happenings of the post-apocalyptic life, but let’s face it: the undead will not wait for you to be ready.\n\nIf they do, you need to up those difficulty settings, mate.\n\nOtherwise, you need [FFAAAA]Stimulants.[-]",,"Ein wenig Schlaf ist eine obligatorische Vorbereitung auf die täglichen Ereignisse des post-apokalyptischen Lebens, aber seien wir realistisch: Die Untoten werden nicht warten, bis du bereit bist.\n\nWenn sie es tun, musst du diese Schwierigkeitsstufen erhöhen, Freund.\n\nAndernfalls brauchst du [FFAAAA]Stimulanzien.[-]","Dormir un poco es una preparación obligatoria para los eventos cotidianos de la vida post-apocalíptica, pero seamos realistas: los no muertos no esperarán a que estés listo.\n\nSi lo hacen, necesitas aumentar esos niveles de dificultad, amigo.\n\nDe lo contrario, necesitas [FFAAAA]Estimulantes.[-]","Dormir un peu est une préparation obligatoire pour les événements quotidiens de la vie post-apocalyptique, mais soyons réalistes : les morts-vivants n'attendront pas que tu sois prêt.\n\nS'ils le font, tu dois augmenter ces niveaux de difficulté, mon ami.\n\nSinon, tu as besoin de [FFAAAA]Stimulants.[-]","Dormire un po' è una preparazione obbligatoria per gli eventi quotidiani della vita post-apocalittica, ma siamo realistici: i non morti non aspetteranno che tu sia pronto.\n\nSe lo fanno, devi aumentare quei livelli di difficoltà, amico.\n\nAltrimenti, ti servono [FFAAAA]Stimolanti.[-]",少しの睡眠は、黙示録後の生活の日常的な出来事への準備に欠かせませんが、現実的に考えましょう：アンデッドはあなたの準備を待ってくれません。\n\nもし待つなら、難易度を上げる必要があります、友よ。\n\nそうでなければ、[FFAAAA]刺激物が必要です。[-],"약간의 잠은 포스트 아포칼립스 생활의 일상적인 이벤트를 대비하는 데 필수적이지만, 현실적으로 말해봅시다: 언데드들은 당신이 준비될 때까지 기다리지 않을 것입니다.\n\n만약 그들이 기다린다면, 난이도를 올려야 합니다, 친구.\n\n그렇지 않으면 [FFAAAA]자극제[-]가 필요합니다.","Nieco snu jest obowiązkowym przygotowaniem na codzienne wydarzenia w życiu post-apokaliptycznym, ale bądźmy realistami: nieumarli nie będą czekać, aż będziesz gotowy.\n\nJeśli tak, musisz podnieść poziom trudności, przyjacielu.\n\nW przeciwnym razie potrzebujesz [FFAAAA]Stymulantów.[-]  ","Dormir um pouco é uma preparação obrigatória para os eventos cotidianos da vida pós-apocalíptica, mas sejamos realistas: os mortos-vivos não vão esperar você estar pronto.\n\nSe eles fizerem, você precisa aumentar esses níveis de dificuldade, amigo.\n\nCaso contrário, você precisa de [FFAAAA]Estimulantes.[-]","Немного поспать - это обязательная подготовка к повседневным событиям постапокалиптической жизни, но давайте будем реалистами: нежить не будет ждать, пока ты будешь готов.\n\nЕсли они так поступают, тебе нужно увеличить уровень сложности, дружище.\n\nВ противном случае тебе нужны [FFAAAA]Стимуляторы.[-]  ","Biraz uyumak, kıyamet sonrası günlük yaşam olayları için zorunlu bir hazırlıktır, ama gerçekçi olalım: ölüler senin hazır olmanı beklemeyecek.\n\nBeklerlerse, zorluk seviyelerini artırmalısın, dostum.\n\nAksi takdirde, [FFAAAA]Uyarıcılara[-] ihtiyacın var.  ",稍微睡一会儿是应对后末世生活中日常事件的必要准备，但让我们现实一点：死者不会等你准备好。\n\n如果他们等的话，你需要提高难度等级，朋友。\n\n否则，你需要[FFAAAA]刺激物。[-],稍微睡一會是應對後末日生活日常事件的必要準備，但說實話：死者不會等你準備好。\n\n如果他們等，這意味著你需要提升難度了，夥伴。\n\n否則，你需要 [FFAAAA]刺激劑。[-]
bb7doiChallengeTreatSleepDeprivation1Short,Challenges,Challenge,,,Treat Sleep Deprivation symptoms with Stimulants,,Behandle die Symptome des Schlafentzugs mit Stimulanzien,Trata los síntomas de Privación del Sueño con Estimulantes,Traite les symptômes de la Privation de Sommeil avec des Stimulants,Tratta i sintomi della Privazione del Sonno con Stimolanti,刺激物で睡眠不足の症状を治療する,자극제로 수면 박탈 증상을 치료하세요,Leczenie objawów deprywacji snu za pomocą stymulantów  ,Trate os sintomas de Privação do Sono com Estimulantes,Лечи симптомы Привлечения Сна со Стимуляторами  ,Uyku Giderimi Belirtileri ile Uyarıcılarla Mücadele Et  ,用刺激物治疗睡眠剥夺的症状,用刺激劑處理失眠症狀
bb7doiChallengeTreatSleepDeprivation2,Challenges,Challenge,,,Treat Sleep Deprivation #2,,Schlafentzug behandeln #2,Tratar Privación del Sueño #2,Traitement de la Privation de Sommeil #2,Trattare la Privazione del Sonno #2,睡眠不足を治療する #2,수면 박탈 치료 #2,Leczenie deprywacji snu #2  ,Tratar Privação do Sono #2,Лечение Привлечения Сна #2  ,Uyku Giderimi ile Mücadele #2  ,治疗睡眠剥夺#2,處理失眠 #2
bb7doiChallengeTreatSleepDeprivation2Desc,Challenges,Challenge,,,"Getting some well-deserved shut-eye is mandatory preparation for the day-to-day happenings of the post-apocalyptic life, but let’s face it: the undead will not wait for you to be ready.\n\nIf they do, you need to up those difficulty settings, mate.\n\nOtherwise, you need [FFAAAA]Stimulants.[-]",,"Ein wenig Schlaf ist eine obligatorische Vorbereitung auf die täglichen Ereignisse des post-apokalyptischen Lebens, aber seien wir realistisch: Die Untoten werden nicht warten, bis du bereit bist.\n\nWenn sie es tun, musst du diese Schwierigkeitsstufen erhöhen, Freund.\n\nAndernfalls brauchst du [FFAAAA]Stimulanzien.[-]","Dormir un poco es una preparación obligatoria para los eventos cotidianos de la vida post-apocalíptica, pero seamos realistas: los no muertos no esperarán a que estés listo.\n\nSi lo hacen, necesitas aumentar esos niveles de dificultad, amigo.\n\nDe lo contrario, necesitas [FFAAAA]Estimulantes.[-]","Dormir un peu est une préparation obligatoire pour les événements quotidiens de la vie post-apocalyptique, mais soyons réalistes : les morts-vivants n'attendront pas que tu sois prêt.\n\nS'ils le font, tu dois augmenter ces niveaux de difficulté, mon ami.\n\nSinon, tu as besoin de [FFAAAA]Stimulants.[-]","Dormire un po' è una preparazione obbligatoria per gli eventi quotidiani della vita post-apocalittica, ma siamo realistici: i non morti non aspetteranno che tu sia pronto.\n\nSe lo fanno, devi aumentare quei livelli di difficoltà, amico.\n\nAltrimenti, ti servono [FFAAAA]Stimolanti.[-]",少しの睡眠は、黙示録後の生活の日常的な出来事への準備に欠かせませんが、現実的に考えましょう：アンデッドはあなたの準備を待ってくれません。\n\nもし待つなら、難易度を上げる必要があります、友よ。\n\nそうでなければ、[FFAAAA]刺激物が必要です。[-],"약간의 잠은 포스트 아포칼립스 생활의 일상적인 이벤트를 대비하는 데 필수적이지만, 현실적으로 말해봅시다: 언데드들은 당신이 준비될 때까지 기다리지 않을 것입니다.\n\n만약 그들이 기다린다면, 난이도를 올려야 합니다, 친구.\n\n그렇지 않으면 [FFAAAA]자극제[-]가 필요합니다.","Nieco snu jest obowiązkowym przygotowaniem na codzienne wydarzenia w życiu post-apokaliptycznym, ale bądźmy realistami: nieumarli nie będą czekać, aż będziesz gotowy.\n\nJeśli tak, musisz podnieść poziom trudności, przyjacielu.\n\nW przeciwnym razie potrzebujesz [FFAAAA]Stymulantów.[-]  ","Dormir um pouco é uma preparação obrigatória para os eventos cotidianos da vida pós-apocalíptica, mas sejamos realistas: os mortos-vivos não vão esperar você estar pronto.\n\nSe eles fizerem, você precisa aumentar esses níveis de dificuldade, amigo.\n\nCaso contrário, você precisa de [FFAAAA]Estimulantes.[-]","Немного поспать - это обязательная подготовка к повседневным событиям постапокалиптической жизни, но давайте будем реалистами: нежить не будет ждать, пока ты будешь готов.\n\nЕсли они так поступают, тебе нужно увеличить уровень сложности, дружище.\n\nВ противном случае тебе нужны [FFAAAA]Стимуляторы.[-]  ","Biraz uyumak, kıyamet sonrası günlük yaşam olayları için zorunlu bir hazırlıktır, ama gerçekçi olalım: ölüler senin hazır olmanı beklemeyecek.\n\nBeklerlerse, zorluk seviyelerini artırmalısın, dostum.\n\nAksi takdirde, [FFAAAA]Uyarıcılara[-] ihtiyacın var.  ",稍微睡一会儿是应对后末世生活中日常事件的必要准备，但让我们现实一点：死者不会等你准备好。\n\n如果他们等的话，你需要提高难度等级，朋友。\n\n否则，你需要[FFAAAA]刺激物。[-],稍微睡一會是應對後末日生活日常事件的必要準備，但說實話：死者不會等你準備好。\n\n如果他們等，這意味著你需要提升難度了，夥伴。\n\n否則，你需要 [FFAAAA]刺激劑。[-]
bb7doiChallengeTreatSleepDeprivation2Short,Challenges,Challenge,,,Treat Sleep Deprivation symptoms with Stimulants,,Behandle die Symptome des Schlafentzugs mit Stimulanzien,Trata los síntomas de Privación del Sueño con Estimulantes,Traite les symptômes de la Privation de Sommeil avec des Stimulants,Tratta i sintomi della Privazione del Sonno con Stimolanti,刺激物で睡眠不足の症状を治療する,자극제로 수면 박탈 증상을 치료하세요,Leczenie objawów deprywacji snu za pomocą stymulantów  ,Trate os sintomas de Privação do Sono com Estimulantes,Лечи симптомы Привлечения Сна со Стимуляторами  ,Uyku Giderimi Belirtileri ile Uyarıcılarla Mücadele Et  ,用刺激物治疗睡眠剥夺的症状,用刺激劑處理失眠症狀
bb7doiChallengeTreatSSleepDeprivation,Challenges,Challenge,,,Treat Severe Sleep Deprivation,,Schweren Schlafentzug behandeln,Tratar Privación Grave del Sueño,Traitement de la Privation Grave de Sommeil,Trattare la Grave Privazione del Sonno,深刻な睡眠不足を治療する,심각한 수면 박탈 치료,Leczenie ciężkiej deprywacji snu  ,Tratar Privação Grave do Sono,Лечение Тяжелой Привлечения Сна  ,Ciddi Uyku Giderimi ile Mücadele Et  ,治疗严重睡眠剥夺,處理嚴重失眠
